,AI Engineer,Accountant,Actuary,Auditor,Biomedical Engineering,Blockchain Developer,Business Analyst,Chemical Engineering,Civil Engineering,Computer Engineering,Cybersecurity Engineer,Data Analyst,Data Scientist,DevOps Engineer,Economist,Electrical Engineering,Environmental Engineering,Financial Analyst,Full Stack Developer,Industrial Engineering,Investment Banker,Machine Learning Engineer,Mechanical Engineering,Risk Analyst
AI Engineer,0.0,0.21975644377116435,0.23057297128519277,0.22389592670837652,0.13727361089096154,0.658230658241131,0.2797384965473218,0.13218707343667266,0.1331381013072411,0.13242781080476193,0.6620821528646915,0.6506889407359936,0.7136062972367759,0.6588677348026007,0.21766610289560256,0.14739000806527686,0.1362053655282253,0.29916637633082255,0.6473393039612538,0.12998664294448575,0.228442895107541,0.7706095839315339,0.14494731757337703,0.25274050873716475
Accountant,0.21975644377116435,0.0,0.6694750431634263,0.6968363776448406,0.13754513769166868,0.22194069221277443,0.6441717631084662,0.13192247057596385,0.13231652545773326,0.13276842382744802,0.2235866239870968,0.2633073469692106,0.2217802043301646,0.2156835506812091,0.6471956999205635,0.14719033697634828,0.13725133970801345,0.6450892721460996,0.21597079885154527,0.1903818807981972,0.6573105834167351,0.22078609137999372,0.1455588588757268,0.6873050165715214
Actuary,0.23057297128519277,0.6694750431634263,0.0,0.6613274571043453,0.14698196755620427,0.2326327591198638,0.6639104080488603,0.14043373153175728,0.1409648710730335,0.14175963615611695,0.23480097319770432,0.2750046880351487,0.28340028645088944,0.22636402343956757,0.6653274242402947,0.15715950759612082,0.1462781258325165,0.6640941105027006,0.2275011744080934,0.13876295192981497,0.6775349273946136,0.23159159887704744,0.15499484531714447,0.7085215845805756
Auditor,0.22389592670837652,0.6968363776448406,0.6613274571043453,0.0,0.13969409430718646,0.22558270677085082,0.6341721147903843,0.1344401059379048,0.13525198561606572,0.13479578226957362,0.22678976573408544,0.25932679010877896,0.22504719601237402,0.21778996008619436,0.6384812349558106,0.1498760791880998,0.1388490852166185,0.6380241098071143,0.2194601070319815,0.13210854634998764,0.6523638416180455,0.2240365328123714,0.1476459357263821,0.681532768686057
Biomedical Engineering,0.13727361089096154,0.13754513769166868,0.14698196755620427,0.13969409430718646,0.0,0.12927208510885568,0.13290065675107557,0.6351297605679934,0.6398923137168885,0.6341007979025912,0.13189065962200794,0.1313894799138168,0.14216101090813538,0.13625012329091973,0.12308403526757558,0.6409640992039024,0.6416323643428832,0.14250358949721986,0.1378336303939404,0.6231976917533671,0.13732305122119176,0.1416025398440125,0.633814980839744,0.15618646294659336
Blockchain Developer,0.658230658241131,0.22194069221277443,0.2326327591198638,0.22558270677085082,0.12927208510885568,0.0,0.2723636809700104,0.12440995369680005,0.1251457573546646,0.1247437024703867,0.7174205334347223,0.6463360164290276,0.6531809173024404,0.655264737287467,0.2214378304060719,0.13868589228104736,0.12851699449491813,0.2904867546927787,0.6421982050940328,0.12223453283486672,0.2311774531542104,0.649010177036956,0.1366506326283743,0.25350233731825095
Business Analyst,0.2797384965473218,0.6441717631084662,0.6639104080488603,0.6341721147903843,0.13290065675107557,0.2723636809700104,0.0,0.1281064692554372,0.12833273402135792,0.12843176966733308,0.2827984196835257,0.3743732121732089,0.27286668293327265,0.2636745865635232,0.641627912059444,0.14235994906221644,0.13312021130545643,0.7644127246556095,0.2672533534905769,0.12502454490691367,0.6525777317650887,0.271341779157986,0.1413266522243484,0.6813442204508622
Chemical Engineering,0.13218707343667266,0.13192247057596385,0.14043373153175728,0.1344401059379048,0.6351297605679934,0.12440995369680005,0.1281064692554372,0.0,0.6526744009585225,0.6479914574811984,0.12610761517557198,0.1257660514590284,0.13712223020487282,0.13095225964055057,0.11797948750170943,0.6551090385216408,0.65497786974947,0.13741921227773393,0.131399136824032,0.6371345236726461,0.13295519078573778,0.1371455618889731,0.7114426580714598,0.15065119514529
Civil Engineering,0.1331381013072411,0.13231652545773326,0.1409648710730335,0.13525198561606572,0.6398923137168885,0.1251457573546646,0.12833273402135792,0.6526744009585225,0.0,0.6508926564903617,0.12681456689898235,0.1264559749012159,0.13765016994541385,0.13125349191474056,0.11851288645290402,0.6588026274707349,0.6581095403247157,0.13799497652485013,0.13229589646092665,0.6402330867999275,0.13355963144861732,0.1376172932642565,0.6525758507696691,0.15153896063783165
Computer Engineering,0.13242781080476193,0.13276842382744802,0.14175963615611695,0.13479578226957362,0.6341007979025912,0.1247437024703867,0.12843176966733308,0.6479914574811984,0.6508926564903617,0.0,0.1271523703672061,0.1266952699208175,0.13731189266973431,0.13158754731964492,0.11874537671417108,0.7098475001198304,0.653481463258517,0.13762393379228188,0.13277372632443454,0.6356480505065362,0.13269099378983037,0.13687764892983612,0.6450428758694269,0.1507696103068655
Cybersecurity Engineer,0.6620821528646915,0.2235866239870968,0.23480097319770432,0.22678976573408544,0.13189065962200794,0.7174205334347223,0.2827984196835257,0.12610761517557198,0.12681456689898235,0.1271523703672061,0.0,0.652232382094148,0.657474343208027,0.6616221406802449,0.22245846350080417,0.14118211499302913,0.13089334214291676,0.30042475307892935,0.6483167538706613,0.12476975858930668,0.23195015674229252,0.6542812324407873,0.13885314643634136,0.2539771302708213
Data Analyst,0.6506889407359936,0.2633073469692106,0.2750046880351487,0.25932679010877896,0.1313894799138168,0.6463360164290276,0.3743732121732089,0.1257660514590284,0.1264559749012159,0.1266952699208175,0.652232382094148,0.0,0.6449987770235975,0.6520626143358534,0.258651283065938,0.14068614379668634,0.13047154737575067,0.38458950445147727,0.637731376381808,0.12426065141701201,0.26576198457738853,0.6470033596098741,0.13844817488614386,0.2874573515207622
Data Scientist,0.7136062972367759,0.2217802043301646,0.28340028645088944,0.22504719601237402,0.14216101090813538,0.6531809173024404,0.27286668293327265,0.13712223020487282,0.13765016994541385,0.13731189266973431,0.657474343208027,0.6449987770235975,0.0,0.6566914939012998,0.21755049307987107,0.15246756575904177,0.14193240044975156,0.2894362183005451,0.641706970975441,0.1340551008807306,0.22982039261870194,0.8768569108405283,0.1508720195966496,0.25163361670945295
DevOps Engineer,0.6588677348026007,0.2156835506812091,0.22636402343956757,0.21778996008619436,0.13625012329091973,0.655264737287467,0.2636745865635232,0.13095225964055057,0.13125349191474056,0.13158754731964492,0.6616221406802449,0.6520626143358534,0.6566914939012998,0.0,0.21202726330674623,0.14585122052642446,0.13621394340936047,0.28018144349398977,0.6457802367894062,0.12830682731925622,0.2225595300072364,0.6551835920578739,0.14450929360725523,0.2447331895635858
Economist,0.21766610289560256,0.6471956999205635,0.6653274242402947,0.6384812349558106,0.12308403526757558,0.2214378304060719,0.641627912059444,0.11797948750170943,0.11851288645290402,0.11874537671417108,0.22245846350080417,0.258651283065938,0.21755049307987107,0.21202726330674623,0.0,0.13178858045907657,0.12248035821681866,0.6921133263807167,0.21266304459339316,0.11625330927563716,0.6545254723404226,0.2167284841935173,0.1299661749491822,0.6849515360611226
Electrical Engineering,0.14739000806527686,0.14719033697634828,0.15715950759612082,0.1498760791880998,0.6409640992039024,0.13868589228104736,0.14235994906221644,0.6551090385216408,0.6588026274707349,0.7098475001198304,0.14118211499302913,0.14068614379668634,0.15246756575904177,0.14585122052642446,0.13178858045907657,0.0,0.6597983613349755,0.15284873843414262,0.1474929541330534,0.6447047217627075,0.14750617534176116,0.15203646375422888,0.6552274016434285,0.167678747787915
Environmental Engineering,0.1362053655282253,0.13725133970801345,0.1462781258325165,0.1388490852166185,0.6416323643428832,0.12851699449491813,0.13312021130545643,0.65497786974947,0.6581095403247157,0.653481463258517,0.13089334214291676,0.13047154737575067,0.14193240044975156,0.13621394340936047,0.12248035821681866,0.6597983613349755,0.0,0.14218128000625865,0.13637316862289334,0.640701733633205,0.13712214878860335,0.1416758100382741,0.652926766634757,0.1554012157523758
Financial Analyst,0.29916637633082255,0.6450892721460996,0.6640941105027006,0.6380241098071143,0.14250358949721986,0.2904867546927787,0.7644127246556095,0.13741921227773393,0.13799497652485013,0.13762393379228188,0.30042475307892935,0.38458950445147727,0.2894362183005451,0.28018144349398977,0.6921133263807167,0.15284873843414262,0.14218128000625865,0.0,0.284222202221172,0.13443650035503504,0.7734548742625776,0.28862890715732875,0.15115007713116674,0.6872637591356111
Full Stack Developer,0.6473393039612538,0.21597079885154527,0.2275011744080934,0.2194601070319815,0.1378336303939404,0.6421982050940328,0.2672533534905769,0.131399136824032,0.13229589646092665,0.13277372632443454,0.6483167538706613,0.637731376381808,0.641706970975441,0.6457802367894062,0.21266304459339316,0.1474929541330534,0.13637316862289334,0.284222202221172,0.0,0.13062690847201866,0.22313796927946508,0.6387285309910794,0.14460989644186642,0.24539371555634382
Industrial Engineering,0.12998664294448575,0.1903818807981972,0.13876295192981497,0.13210854634998764,0.6231976917533671,0.12223453283486672,0.12502454490691367,0.6371345236726461,0.6402330867999275,0.6356480505065362,0.12476975858930668,0.12426065141701201,0.1340551008807306,0.12830682731925622,0.11625330927563716,0.6447047217627075,0.640701733633205,0.13443650035503504,0.13062690847201866,0.0,0.12953563384745537,0.13339074053292135,0.6341183751397893,0.1476369669014019
Investment Banker,0.228442895107541,0.6573105834167351,0.6775349273946136,0.6523638416180455,0.13732305122119176,0.2311774531542104,0.6525777317650887,0.13295519078573778,0.13355963144861732,0.13269099378983037,0.23195015674229252,0.26576198457738853,0.22982039261870194,0.2225595300072364,0.6545254723404226,0.14750617534176116,0.13712214878860335,0.7734548742625776,0.22313796927946508,0.12953563384745537,0.0,0.22906358459079745,0.14599323249111568,0.6978338018387903
Machine Learning Engineer,0.7706095839315339,0.22078609137999372,0.23159159887704744,0.2240365328123714,0.1416025398440125,0.649010177036956,0.271341779157986,0.1371455618889731,0.1376172932642565,0.13687764892983612,0.6542812324407873,0.6470033596098741,0.8768569108405283,0.6551835920578739,0.2167284841935173,0.15203646375422888,0.1416758100382741,0.28862890715732875,0.6387285309910794,0.13339074053292135,0.22906358459079745,0.0,0.15077446570465658,0.2516835486434966
Mechanical Engineering,0.14494731757337703,0.1455588588757268,0.15499484531714447,0.1476459357263821,0.633814980839744,0.1366506326283743,0.1413266522243484,0.7114426580714598,0.6525758507696691,0.6450428758694269,0.13885314643634136,0.13844817488614386,0.1508720195966496,0.14450929360725523,0.1299661749491822,0.6552274016434285,0.652926766634757,0.15115007713116674,0.14460989644186642,0.6341183751397893,0.14599323249111568,0.15077446570465658,0.0,0.1653593649531563
Risk Analyst,0.25274050873716475,0.6873050165715214,0.7085215845805756,0.681532768686057,0.15618646294659336,0.25350233731825095,0.6813442204508622,0.15065119514529,0.15153896063783165,0.1507696103068655,0.2539771302708213,0.2874573515207622,0.25163361670945295,0.2447331895635858,0.6849515360611226,0.167678747787915,0.1554012157523758,0.6872637591356111,0.24539371555634382,0.1476369669014019,0.6978338018387903,0.2516835486434966,0.1653593649531563,0.0
